titolo,autore,editore,anno,prezzo,categoria,link_acquisto
"Le mani della madre. Desiderio, fantasmi ed eredità del materno",Massimo Recalcati,,2025,Prezzo non disponibile,psicologia,https://www.ibs.it/mani-della-madre-desiderio-fantasmi-libro-massimo-recalcati/e/2000000153346?inventoryId=822649992&queryId=a1024838adf10f9376906bc74938ae52
L'ira funesta. Come frenare la distruttività del mondo contemporaneo,Vittorino Andreoli,,2025,"17,90 €",psicologia,https://www.ibs.it/ira-funesta-come-frenare-distruttivita-libro-vittorino-andreoli/e/9788828215936?inventoryId=790010048&queryId=a1024838adf10f9376906bc74938ae52
L'arte della negoziazione. Trasformare i conflitti in accordi,Giorgio Nardone,,2025,"16,00 €",psicologia,https://www.ibs.it/arte-della-negoziazione-trasformare-conflitti-libro-giorgio-nardone-stefano-bartoli/e/9788868339821?inventoryId=726116923&queryId=a1024838adf10f9376906bc74938ae52
Il sentimento del reale. Scritti inediti,Donald W. Winnicott,Raffaello Cortina Editore,2025,"26,00 €",psicologia,https://www.ibs.it/sentimento-del-reale-scritti-inediti-libro-donald-w-winnicott/e/9788832857252?inventoryId=785398937&queryId=a1024838adf10f9376906bc74938ae52
De odio,Massimo Recalcati,,2025,"19,50 €",psicologia,https://www.ibs.it/de-odio-libro-massimo-recalcati/e/9791256145034?inventoryId=793652186&queryId=a1024838adf10f9376906bc74938ae52
L'origine del male non è sconosciuta. Saggio su Alice Miller,Marta Petrucci,,2025,"29,00 €",psicologia,https://www.ibs.it/origine-del-male-non-sconosciuta-libro-marta-petrucci-nicoletta-spina/e/9788868687250?inventoryId=790292550&queryId=a1024838adf10f9376906bc74938ae52
La luce delle stelle morte. Saggio su lutto e nostalgia,Massimo Recalcati,,2025,"11,00 €",psicologia,https://www.ibs.it/luce-delle-stelle-morte-saggio-libro-massimo-recalcati/e/9788807899652?inventoryId=784062706&queryId=a1024838adf10f9376906bc74938ae52
"Io, noi, loro. Le relazioni nell'era dei social e dell'IA",Giuseppe Riva,,2025,"17,00 €",psicologia,https://www.ibs.it/io-noi-loro-relazioni-nell-libro-giuseppe-riva/e/9788815391469?inventoryId=790010070&queryId=a1024838adf10f9376906bc74938ae52
Donne che non si amano abbastanza,Susan Nolen-Hoeksema,,2025,"18,90 €",psicologia,https://www.ibs.it/donne-che-non-si-amano-libro-susan-nolen-hoeksema/e/9791281368620?inventoryId=791032395&queryId=a1024838adf10f9376906bc74938ae52
Architetti dell'anima. Da Vienna al mondo. Il secolo della psicoanalisi,Steve Ayan,,2025,"25,00 €",psicologia,https://www.ibs.it/architetti-dell-anima-da-vienna-libro-steve-ayan/e/9788807174810?inventoryId=784063054&queryId=a1024838adf10f9376906bc74938ae52
